F1,F2,F3,Target
34.8,6.923715757,40.67469106,A
-4.72,0.196553495,1.15469106,A
7.25,2.234107449,13.12469106,A
-36.3,-5.179048333,-30.42530894,A
35.1,6.974782272,40.97469106,A
-20.9,-2.557633889,-15.02530894,A
-6.13,-0.043459126,-0.25530894,A
-16.4,-1.791636161,-10.52530894,A
48,9.170642424,53.87469106,A
35.4,7.025848787,41.27469106,A
-11,-0.872438889,-5.12530894,A
-17.3,-1.944835707,-11.42530894,A
-11.4,-0.940527576,-5.52530894,A
-23.2,-2.949143838,-17.32530894,A
5.02,1.85451302,10.89469106,A
12.1,3.059682778,17.97469106,A
-49.1,-7.357886312,-43.22530894,A
45.3,8.711043787,51.17469106,A
-91.4,-14.55826495,-85.52530894,A
45.7,8.779132474,51.57469106,A
-41.3,-6.030156919,-35.42530894,A
-74.6,-11.6985401,-68.72530894,A
-8.4,-0.429862424,-2.52530894,A
-11,-0.872438889,-5.12530894,A
14.9,3.536303586,20.77469106,A
30.1,6.123673686,35.97469106,A
-13.9,-1.366081868,-8.02530894,A
-34.6,-4.889671414,-28.72530894,A
-10.4,-0.770305858,-4.52530894,A
20.1,4.421456515,25.97469106,A
9.62,2.637532919,15.49469106,A
19.6,4.336345656,25.47469106,A
6.27,2.067290167,12.14469106,A
-11,-0.872438889,-5.12530894,A
-7.83,-0.332836045,-1.95530894,A
-10.6,-0.804350202,-4.72530894,A
18.6,4.166123939,24.47469106,A
-39.2,-5.672691313,-33.32530894,A
-21.9,-2.727855606,-16.02530894,A
16.8,3.859724848,22.67469106,A
-65.7,-10.18356682,-59.82530894,A
-25.1,-3.272565101,-19.22530894,A
18.4,4.132079596,24.27469106,A
38.3,7.519491767,44.17469106,A
-27.7,-3.715141565,-21.82530894,A
3.69,1.628118136,9.56469106,A
-40.3,-5.859935201,-34.42530894,A
0.53,1.09021751,6.40469106,A
7.77,2.322622742,13.64469106,A
-11.5,-0.957549747,-5.62530894,A
26.8,5.56194202,32.67469106,A
38.7,7.587580454,44.57469106,A
9.15,2.557528712,15.02469106,A
28.3,5.817274596,34.17469106,A
-26.6,-3.527897676,-20.72530894,A
10.2,2.736261515,16.07469106,A
-47,-7.000420706,-41.12530894,A
-10.5,-0.78732803,-4.62530894,A
-24.7,-3.204476414,-18.82530894,A
-4.82,0.179531323,1.05469106,A
-41,-5.979090403,-35.12530894,A
13.2,3.246926666,19.07469106,A
23.6,5.017232525,29.47469106,A
-8.69,-0.479226722,-2.81530894,A
5.4,1.919197273,11.27469106,A
-64.2,-9.928234241,-58.32530894,A
19.5,4.319323485,25.37469106,A
-30.5,-4.191762373,-24.62530894,A
11.7,2.991594091,17.57469106,A
-4.02,0.315708697,1.85469106,A
25.7,5.374698131,31.57469106,A
-66.6,-10.33676636,-60.72530894,A
-3.39,0.422948379,2.48469106,A
27.4,5.66407505,33.27469106,A
4.3,1.731953384,10.17469106,A
5.16,1.878344061,11.03469106,A
-23,-2.915099495,-17.12530894,A
-81.3,-12.8390256,-75.42530894,A
-90.7,-14.43910975,-84.82530894,A
-4.48,0.237406707,1.39469106,A
-32,-4.447094949,-26.12530894,A
37.9,7.45140308,43.77469106,A
24,5.085321212,29.87469106,A
-24.9,-3.238520757,-19.02530894,A
1.83,1.311505742,7.70469106,A
-23.9,-3.06829904,-18.02530894,A
-38.7,-5.587580454,-32.82530894,A
-42.3,-6.200378636,-36.42530894,A
-26.3,-3.476831161,-20.42530894,A
-2.91,0.504654803,2.96469106,A
11.4,2.940527576,17.27469106,A
2.07,1.352358955,7.94469106,A
-10.5,-0.78732803,-4.62530894,A
-1.74,0.703814212,4.13469106,A
-5.26,0.104633768,0.61469106,A
7.22,2.229000798,13.09469106,A
2.74,1.466407505,8.61469106,A
9.54,2.623915182,15.41469106,A
-12.3,-1.093727121,-6.42530894,A
-8.29,-0.411138035,-2.41530894,A
-35.1,-4.974782272,-29.22530894,A
-18.3,-2.115057424,-12.42530894,A
45.1,8.676999444,50.97469106,A
-11.2,-0.906483232,-5.32530894,A
-13.6,-1.315015353,-7.72530894,A
3.52,1.599180444,9.39469106,A
-35.4,-5.025848787,-29.52530894,A
-5.91,-0.006010348,-0.03530894,A
-23.9,-3.06829904,-18.02530894,A
18,4.063990909,23.87469106,A
-20.3,-2.455500858,-14.42530894,A
-6.99,-0.189849803,-1.11530894,A
4.08,1.694504606,9.95469106,A
-34.7,-4.906693585,-28.82530894,A
-43.5,-6.404644696,-37.62530894,A
-44.3,-6.54082207,-38.42530894,A
-11.7,-0.991594091,-5.82530894,A
-20.1,-2.421456515,-14.22530894,A
24,5.085321212,29.87469106,A
-6.21,-0.057076864,-0.33530894,A
-17.9,-2.046968737,-12.02530894,A
39.1,7.655669141,44.97469106,A
-0.642,0.890717658,5.23269106,A
10.2,2.736261515,16.07469106,A
-40.6,-5.911001717,-34.72530894,A
26.7,5.544919848,32.57469106,A
-51.5,-7.766418434,-45.62530894,A
-61.9,-9.536724292,-56.02530894,A
25.3,5.306609444,31.17469106,A
21.7,4.693811262,27.57469106,A
-54.6,-8.294105757,-48.72530894,A
18.6,4.166123939,24.47469106,A
12,3.042660606,17.87469106,A
