F1,Target
2.42E-08,G
1.62E-08,G
1.60E-08,G
2.37E-08,G
4.01E-08,G
4.76E-08,G
3.16E-08,G
3.12E-08,G
2.23E-08,G
2.24E-08,G
3.04E-08,G
2.34E-08,G
2.33E-08,G
1.55E-08,G
1.47E-08,G
2.97E-08,G
2.92E-08,G
5.36E-09,G
-3.01E-09,G
2.23E-08,G
1.47E-08,G
-5.47E-10,G
1.52E-08,G
-1.86E-09,G
-1.83E-08,G
-1.84E-08,G
-9.89E-09,G
5.32E-09,G
-1.82E-08,G
-1.81E-08,G
-1.86E-08,G
-3.15E-09,G
-2.18E-09,G
-1.80E-08,G
-1.80E-08,G
-1.03E-08,G
-1.05E-08,G
-2.68E-08,G
-1.01E-08,G
-9.45E-09,G
-1.06E-08,G
-1.85E-08,G
-1.02E-08,G
-1.88E-08,G
-1.84E-08,G
-9.86E-09,G
-1.06E-08,G
-1.88E-08,G
-3.04E-09,G
4.87E-09,G
-3.28E-09,G
-3.48E-09,G
4.79E-09,G
5.78E-09,G
5.60E-09,G
-2.74E-09,G
-2.44E-09,G
-1.07E-08,G
-1.05E-08,G
-2.06E-09,G
-1.91E-08,G
-2.69E-08,G
-1.07E-08,G
-1.04E-08,G
-1.12E-08,G
-1.94E-08,G
-3.61E-08,G
-3.94E-09,G
4.93E-09,G
5.47E-09,G
-3.10E-09,G
-2.68E-09,G
-2.89E-09,G
-1.86E-09,G
-9.93E-09,G
-9.73E-09,G
-1.04E-08,G
-1.87E-08,G
-2.75E-09,G
-3.57E-09,G
-1.05E-08,G
-1.89E-08,G
-1.85E-08,G
-1.76E-08,G
-3.47E-08,G
-3.42E-08,G
-2.59E-08,G
-3.38E-08,G
-3.39E-08,G
-9.84E-09,G
-2.51E-08,G
-1.72E-08,G
-3.35E-08,G
-3.32E-08,G
-3.32E-08,G
-1.72E-08,G
-1.72E-08,G
-1.71E-08,G
-9.42E-09,G
6.56E-09,G
-9.87E-09,G
-1.83E-09,G
-1.01E-08,G
-1.09E-08,G
-3.27E-09,G
-2.77E-08,G
-1.97E-08,G
-2.00E-08,G
-2.75E-08,G
-3.47E-08,G
-3.51E-08,G
-1.93E-08,G
-2.76E-08,G
-1.99E-08,G
-2.78E-08,G
-2.70E-08,G
-2.21E-09,G
4.60E-09,G
-2.68E-09,G
-1.11E-08,G
-2.76E-09,G
-1.04E-08,G
-2.58E-08,G
-3.38E-08,G
-3.41E-08,G
-4.22E-08,G
-3.54E-08,G
-1.97E-08,G
-3.56E-08,G
-3.59E-08,G
-2.80E-08,G
-2.75E-08,G
-2.02E-08,G
-1.18E-08,G
-1.11E-08,G
-3.38E-09,G
-3.86E-09,G
1.23E-08,G
-3.99E-09,G
-3.74E-09,G
1.22E-08,G
3.54E-09,G
1.18E-08,G
3.50E-09,G
2.90E-09,G
-1.17E-08,G
4.10E-09,G
-4.09E-09,G
-3.73E-09,G
2.86E-08,G
2.78E-08,G
1.18E-08,G
3.79E-09,G
-1.18E-08,G
-2.08E-08,G
3.26E-09,G
-1.26E-08,G
-1.20E-08,G
3.53E-08,G
2.82E-08,G
1.19E-08,G
3.36E-09,G
3.01E-09,G
3.19E-09,G
-4.45E-09,G
2.89E-09,G
2.86E-09,G
3.53E-09,G
2.87E-09,G
1.12E-08,G
3.51E-09,G
-3.61E-09,G
-2.01E-08,G
-1.96E-08,G
-1.93E-08,G
-1.98E-08,G
-2.82E-08,G
-4.25E-09,G
