F1,F2,F3,F4,F5,F6,F7,F8,label
6.22E-09,1,0.509533109,-3.47E-11,1.52E-10,1.67E-10,3.62E-10,4.77E-10,T
3.26E-09,1,0.267054331,-1.00E-11,1.52E-10,1.92E-10,3.37E-10,5.02E-10,T
-5.91E-10,1,-0.048413837,2.21E-11,1.52E-10,2.24E-10,3.05E-10,5.34E-10,T
-3.84E-09,1,-0.314567064,4.91E-11,1.52E-10,2.51E-10,2.78E-10,5.61E-10,T
5.54E-09,1,0.453828525,-2.90E-11,1.52E-10,1.73E-10,3.56E-10,4.83E-10,T
2.59E-09,1,0.212168931,-4.46E-12,1.52E-10,1.98E-10,3.32E-10,5.08E-10,T
-7.28E-09,1,-0.596366726,7.78E-11,1.52E-10,2.80E-10,2.49E-10,5.90E-10,T
-6.53E-09,1,-0.534927846,7.15E-11,1.52E-10,2.74E-10,2.56E-10,5.84E-10,T
-3.45E-09,1,-0.282618847,4.59E-11,1.52E-10,2.48E-10,2.81E-10,5.58E-10,T
-1.32E-08,1,-1.081324284,1.27E-10,1.52E-10,3.29E-10,2.00E-10,6.39E-10,T
-7.04E-09,1,-0.576706285,7.58E-11,1.52E-10,2.78E-10,2.51E-10,5.88E-10,T
-1.03E-08,1,-0.843760615,1.03E-10,1.52E-10,3.05E-10,2.24E-10,6.15E-10,T
-6.43E-09,1,-0.526735996,7.07E-11,1.52E-10,2.73E-10,2.56E-10,5.83E-10,T
-7.15E-09,1,-0.58571732,7.67E-11,1.52E-10,2.79E-10,2.50E-10,5.89E-10,T
-3.74E-09,1,-0.306375214,4.83E-11,1.52E-10,2.50E-10,2.79E-10,5.60E-10,T
-1.00E-08,1,-0.819185063,1.00E-10,1.52E-10,3.03E-10,2.27E-10,6.13E-10,T
-1.35E-08,1,-1.105899836,1.30E-10,1.52E-10,3.32E-10,1.98E-10,6.42E-10,T
-9.57E-09,1,-0.783960106,9.69E-11,1.52E-10,2.99E-10,2.30E-10,6.09E-10,T
-1.35E-08,1,-1.105899836,1.30E-10,1.52E-10,3.32E-10,1.98E-10,6.42E-10,T
-6.58E-09,1,-0.539023772,7.20E-11,1.52E-10,2.74E-10,2.55E-10,5.84E-10,T
-1.64E-08,1,-1.343463504,1.54E-10,1.52E-10,3.56E-10,1.73E-10,6.66E-10,T
-6.54E-09,1,-0.535747031,7.16E-11,1.52E-10,2.74E-10,2.56E-10,5.84E-10,T
-1.90E-08,1,-1.55645162,1.75E-10,1.52E-10,3.78E-10,1.52E-10,6.88E-10,T
-1.30E-08,1,-1.064940582,1.25E-10,1.52E-10,3.28E-10,2.02E-10,6.38E-10,T
-1.27E-08,1,-1.04036503,1.23E-10,1.52E-10,3.25E-10,2.04E-10,6.35E-10,T
-1.58E-08,1,-1.2943124,1.49E-10,1.52E-10,3.51E-10,1.78E-10,6.61E-10,T
-1.58E-08,1,-1.2943124,1.49E-10,1.52E-10,3.51E-10,1.78E-10,6.61E-10,T
-1.27E-08,1,-1.04036503,1.23E-10,1.52E-10,3.25E-10,2.04E-10,6.35E-10,T
-9.90E-09,1,-0.810993213,9.96E-11,1.52E-10,3.02E-10,2.28E-10,6.12E-10,T
-1.32E-08,1,-1.081324284,1.27E-10,1.52E-10,3.29E-10,2.00E-10,6.39E-10,T
-9.98E-09,1,-0.817546693,1.00E-10,1.52E-10,3.02E-10,2.27E-10,6.12E-10,T
-9.70E-09,1,-0.794609511,9.80E-11,1.52E-10,3.00E-10,2.29E-10,6.10E-10,T
-1.94E-08,1,-1.589219023,1.79E-10,1.52E-10,3.81E-10,1.48E-10,6.91E-10,T
-1.59E-08,1,-1.302504251,1.50E-10,1.52E-10,3.52E-10,1.78E-10,6.62E-10,T
-1.90E-08,1,-1.55645162,1.75E-10,1.52E-10,3.78E-10,1.52E-10,6.88E-10,T
-1.84E-08,1,-1.507300517,1.70E-10,1.52E-10,3.72E-10,1.57E-10,6.83E-10,T
-2.19E-08,1,-1.794015289,2.00E-10,1.52E-10,4.02E-10,1.28E-10,7.12E-10,T
-1.54E-08,1,-1.261544998,1.45E-10,1.52E-10,3.48E-10,1.82E-10,6.58E-10,T
-2.22E-08,1,-1.818590841,2.02E-10,1.52E-10,4.04E-10,1.25E-10,7.14E-10,T
-1.86E-08,1,-1.523684218,1.72E-10,1.52E-10,3.74E-10,1.55E-10,6.84E-10,T
-2.19E-08,1,-1.794015289,2.00E-10,1.52E-10,4.02E-10,1.28E-10,7.12E-10,T
-1.58E-08,1,-1.2943124,1.49E-10,1.52E-10,3.51E-10,1.78E-10,6.61E-10,T
-1.60E-08,1,-1.310696101,1.50E-10,1.52E-10,3.53E-10,1.77E-10,6.63E-10,T
-1.57E-08,1,-1.286120549,1.48E-10,1.52E-10,3.50E-10,1.79E-10,6.60E-10,T
-1.96E-08,1,-1.605602724,1.80E-10,1.52E-10,3.83E-10,1.47E-10,6.93E-10,T
-1.60E-08,1,-1.310696101,1.50E-10,1.52E-10,3.53E-10,1.77E-10,6.63E-10,T
-1.59E-08,1,-1.302504251,1.50E-10,1.52E-10,3.52E-10,1.78E-10,6.62E-10,T
-1.24E-08,1,-1.015789479,1.20E-10,1.52E-10,3.23E-10,2.07E-10,6.33E-10,T
-1.55E-08,1,-1.269736848,1.46E-10,1.52E-10,3.48E-10,1.81E-10,6.58E-10,T
-1.60E-08,1,-1.310696101,1.50E-10,1.52E-10,3.53E-10,1.77E-10,6.63E-10,T
-1.59E-08,1,-1.302504251,1.50E-10,1.52E-10,3.52E-10,1.78E-10,6.62E-10,T
-2.58E-08,1,-2.113497463,2.32E-10,1.52E-10,4.34E-10,9.50E-11,7.44E-10,T
